Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.0813,Fri Jun 08 14:30:16 +0000 2018,0.11,0.794,0.096,"President Trump says he doesn't disagree with his lawyer Rudy Giuliani, who argued earlier this week that being a p… https://t.co/uWjWms2k7I",0,CNN
0.0,Fri Jun 08 14:20:11 +0000 2018,0.0,1.0,0.0,Former NBA star Dennis Rodman is traveling to Singapore for the upcoming summit between President Trump and North K… https://t.co/UCfzv8mOiW,1,CNN
-0.3597,Fri Jun 08 14:10:04 +0000 2018,0.146,0.773,0.082,"Venezuela ranks as the most dangerous country in the world for the second straight year, according to a new Gallup… https://t.co/LX4kppC8JN",2,CNN
0.0,Fri Jun 08 14:00:06 +0000 2018,0.0,1.0,0.0,"Anthony Bourdain, the chef and gifted storyteller who took TV viewers around the world to explore culture, cuisine… https://t.co/b20bVyUpe8",3,CNN
0.0516,Fri Jun 08 13:50:09 +0000 2018,0.0,0.938,0.062,"The ""gig economy"" of freelancers and short-term workers comprises a big chunk of America's labor force, but it may… https://t.co/tFAeyx2adL",4,CNN
0.5994,Fri Jun 08 13:40:07 +0000 2018,0.0,0.803,0.197,"""It concerns me that so many voices within the Democratic Party are going so far to the left,"" outgoing Starbucks e… https://t.co/THnVYmaLnV",5,CNN
-0.7351,Fri Jun 08 13:30:06 +0000 2018,0.267,0.733,0.0,Federal investigators say in a preliminary report about a fatal Tesla crash in California that the driver did not h… https://t.co/w4ahASIx7e,6,CNN
0.0,Fri Jun 08 13:20:05 +0000 2018,0.0,1.0,0.0,President Trump says he wants to meet with NFL players and athletes who kneel during the National Anthem so they ca… https://t.co/JKnSbogwH4,7,CNN
-0.5267,Fri Jun 08 13:12:07 +0000 2018,0.145,0.855,0.0,A 25-year-old South Korean hiker is recovering in a hospital after being trapped for six days at the bottom of an A… https://t.co/MKojPebekq,8,CNN
-0.8225,Fri Jun 08 13:04:02 +0000 2018,0.336,0.664,0.0,A longtime US Senate staffer was arrested on charges of lying to federal agents as part of an investigation related… https://t.co/Q2FTJXcLat,9,CNN
0.0516,Fri Jun 08 12:59:08 +0000 2018,0.0,0.938,0.062,"Stormy Daniels' attorney Michael Avenatti says he owes ""an apology to the pig for associating Giuliani with a pig""… https://t.co/S7RgJSxGob",10,CNN
0.0,Fri Jun 08 12:57:07 +0000 2018,0.0,1.0,0.0,Time cover gets Trump just right | By Michael D'Antonio via @CNNOpinion https://t.co/F6ob6HLa0I https://t.co/xTvgqFqsSE,11,CNN
-0.4767,Fri Jun 08 12:55:43 +0000 2018,0.134,0.866,0.0,President Trump says Russia should be reinstated to the G7 summit. Russia was suspended from the group in 2014 afte… https://t.co/BHRpXIjx7E,12,CNN
0.5719,Fri Jun 08 12:54:50 +0000 2018,0.0,0.821,0.179,A new television ad showing a gubernatorial candidate kissing his husband is the first political spot in US history… https://t.co/k2i1btEnZW,13,CNN
0.0,Fri Jun 08 12:52:04 +0000 2018,0.0,1.0,0.0,"FX renews ""Atlanta"" for Season 3 https://t.co/4JZrFPGGkP https://t.co/ziLglGnMKn",14,CNN
0.4019,Fri Jun 08 12:50:09 +0000 2018,0.0,0.87,0.13,"JUST IN: President Trump says he is considering posthumously pardoning boxer Muhammad Ali, who was convicted in the… https://t.co/S5oSMmE0xN",15,CNN
-0.296,Fri Jun 08 12:45:00 +0000 2018,0.217,0.664,0.119,"Krill are critical to the fight against climate change: These tiny creatures help capture carbon dioxide, offsettin… https://t.co/SSrBAqTIkP",16,CNN
-0.7351,Fri Jun 08 12:43:06 +0000 2018,0.279,0.721,0.0,"In a preliminary report about a fatal Tesla crash in California, federal investigators said that the driver did not… https://t.co/aEd54IwQ9x",17,CNN
-0.5994,Fri Jun 08 12:38:42 +0000 2018,0.242,0.659,0.099,"If you or someone you know might be at risk of suicide, here are ways to help: https://t.co/IdA7Mn7fkP

Call 1-800-… https://t.co/PbHNs5rJRL",18,CNN
